canonical_key,title,author,real_test,current_cc010_stage,current_status,latest_completed_boundary,earliest_unresolved_boundary,waiting_on,blocker,next_action,automation_status,mutation_required
title:department of the air force mission driven leadership,Department of the Air Force: Mission Driven Leadership,USAF,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:destined to break the curse devotional,Destined To Break The Curse Devotional,"Sean Smith, Sr.",REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:delicious ideas,Delicious Ideas!,Agape International Cathedral,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:damaged,Damaged,Lisa Taylor,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:conquer your fears and win,Conquer Your Fears and Win,Gloria Patterson,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:bodacious,Bodacious,Nathaniel Short,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:connected,Connected!,Dennis Brown,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:come out of hiding,Come Out of Hiding,Christina Chislom,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:biblical prescriptions for life s troubles,Biblical Prescriptions For Life's Troubles,Terry Stephens,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:bee careful,BEE Careful,Deborah Eiland,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:because the lord is my shepherd,Because the Lord is My Shepherd,Carolyn Booker-Pierce,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:almost happy,Almost Happy,Jaylonna Stevette,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:aligned,Aligned!,Dennis Brown,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:are you sure that you are ready,Are You Sure That You Are Ready?,Ericka Thornton,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:according to mark,According to Mark,Alice Pryor,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:a truebies guide part 1,"A Truebies Guide, Part 1",Alesia Corpening,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:a truebies guide part 2,"A Truebies Guide, Part 2",Alesia Corpening,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:abortion,Abortion!,Carolyn Booker-Pierce,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:a principal s tale,A Principal's Tale,Shelley McIntosh,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:a portrait of paradise,A Portrait of Paradise,Iyorwuese Hagher,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:a little bit of everything,A Little Bit of Everything,Eryonna Barrino,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:365 days of transparency,365 Days of Transparency,Daphanny Baker,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:7 step jumpstart to becoming your best self,7 Step Jumpstart to Becoming Your Best Self,Ericka Johnson Settles,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:a blended family,A Blended Family,Shecara Norris,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:27 days to overcoming depression,27 Days to Overcoming Depression,Donjia Walls,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:100 wisdom lessons for life and living,100 Wisdom Lessons for Life and Living,J Derrick Johnson,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:jm1 preview synthetic artifact b,JM1 Preview Synthetic Artifact B,JM1 Preview Author B,SYNTHETIC,Proofreading,Author Review,None proven,Await Proofreading author response/full approval,Author,Await Proofreading author response/full approval,Await Proofreading author response/full approval,PARTIAL - OpenAI preferred route preserved,NO - dry-run evidence first
title:jm1 preview synthetic artifact a,JM1 Preview Synthetic Artifact A,JM1 Preview Author A,SYNTHETIC,Proofreading,Author Review,None proven,Await Proofreading author response/full approval,Author,Await Proofreading author response/full approval,Await Proofreading author response/full approval,PARTIAL - OpenAI preferred route preserved,NO - dry-run evidence first
title:the fight for the promiseland battle strategies for victorious people,The Fight for the Promiseland: Battle Strategies for Victorious People,,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:music ministry unplugged real lessons for those who lead and serve in music ministry,Music Ministry Unplugged: Real Lessons for Those who Lead and Serve in Music Ministry,,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:memoir of a black christian nationalist seeds of liberation unabridged,Memoir of a Black Christian Nationalist: Seeds of Liberation (Unabridged),,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:the long watch,The Long Watch,Jackie Smith Jr,REAL_ACTIVE,Developmental Editing,In Progress,None proven,Await Developmental Editing author response/full approval,Author,Await Developmental Editing author response/full approval,Await Developmental Editing author response/full approval,PARTIAL - route commissioned; execution requires clean boundary,NO - dry-run evidence first
title:the general s will and last testament,The General’s Will and Last Testament,Iyorwuese Hagher,REAL_ACTIVE,Developmental Editing,In Progress,Developmental Complete,Await Developmental Editing author response/full approval,Author,Await Developmental Editing author response/full approval,Await Developmental Editing author response/full approval,PARTIAL - route commissioned; execution requires clean boundary,NO - dry-run evidence first
title:before you were born,Before You Were Born,Sean Crowley,REAL_ACTIVE,Developmental Editing,Author Review,None proven,External dependency for Developmental Editing,External,External dependency for Developmental Editing,External dependency for Developmental Editing,PARTIAL - route commissioned; execution requires clean boundary,NO - dry-run evidence first
title:establishing glory the library,Establishing Glory: The Library,"Jackie Smith, Jr.",REAL_ACTIVE,Developmental Editing,In Progress,None proven,Await Developmental Editing author response/full approval,Author,Await Developmental Editing author response/full approval,Await Developmental Editing author response/full approval,PARTIAL - route commissioned; execution requires clean boundary,NO - dry-run evidence first
title:you re still not crazy you may be an empath dealing with a narcissist,You're Still Not Crazy: You May Be An Empath Dealing With A Narcissist,,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:warriors and angels liberating inner power in the journey of life,Warriors and Angels: Liberating Inner Power in the Journey of Life,,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:your peace is a priority a devotional journal,Your Peace is a Priority: A Devotional Journal,,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:the journey the inspiration and message behind the music,The Journey: The Inspiration and Message Behind the Music,,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:todays s new title,todays's new title,,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:the great hair restart the journal,The Great Hair Restart: The Journal,,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:the essence of life love letters to christ poems of life and love from the pages of the heart,"The Essence of Life, Love Letters to Christ: Poems of Life and Love from the Pages of the Heart",,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:the great hair restart the ultimate guide to resetting your natural hair journey with confidence,The Great Hair Restart: The Ultimate Guide to Resetting Your Natural Hair Journey with Confidence,,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:taylor made my life my story,"Taylor Made: My Life, My Story",,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:more than a village raising black men in america,More Than A Village: Raising Black Men in America,,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:speech therapy works juliana s story,Speech Therapy Works!: Juliana's Story,,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:my abcs,My ABCs,,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:she an expose of her insufficiencies,SHE: An Expose' of Her Insufficiencies,,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:loving the addict while taking care of yourself first,Loving the Addict: While Taking Care of Yourself First,,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:memoir of a black christian nationalist seeds of liberation,Memoir of a Black Christian Nationalist: Seeds of Liberation,,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:just what i needed daily devotional,Just What I Needed: Daily Devotional,,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:mirror of refining insight an introspective look at pursuing your purpose,Mirror of Refining Insight: An Introspective Look At Pursuing Your Purpose,,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:inspirations from god god is gooood,Inspirations from God: God is Gooood!,,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:jewels by lady j a book of daily devotion and reflection one day at a time,Jewels by Lady J: A Book of Daily Devotion and Reflection One Day at a Time,,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:connected unlocking the dna of authentic prayer 2nd edition,Connected!: Unlocking the DNA of Authentic Prayer - 2nd Edition,,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:delicious ideas the legacy cookbook,Delicious Ideas!: The Legacy Cookbook,,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:discipline and direction god s leadership style,Discipline and Direction: God's Leadership Style,,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:divinely inspired trauma triumphed,Divinely Inspired: Trauma Triumphed,,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:come out of hiding activating deliverance,Come Out Of Hiding: Activating Deliverance,,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:because the lord is my shepherd psalm 23 and me,Because the Lord is My Shepherd: Psalm 23 and Me,,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:bodacious controversial and provocative,Bodacious: Controversial and Provocative,,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:aligned unlocking the dna of authentic faith,Aligned!: Unlocking the DNA of Authentic Faith,,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:are you sure that you are ready a guide for vendors,Are You Sure That You Are Ready?: A Guide for Vendors,,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:a principal s tale a self determined leader,A Principal's Tale: A Self-Determined Leader,,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:abortion george and giovanna,Abortion!: George and Giovanna,,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:27 days to overcoming depression debunking all the lies,27 Days to Overcoming Depression: Debunking All the Lies,,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:the i am in me part 2 second edition,"The I Am In Me Part 2, Second Edition",Tekisha Wimbush,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:the i am in me second edition,"The I Am in Me, Second Edition",Tekisha Wimbush,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:the essence of life,The ESSENCE of Life,Tracy Norris,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:the doctrine of the last things,The Doctrine of the Last Things,Obadiah Harris,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:grandmothers educating minds 2nd edition,"Grandmothers Educating Minds, 2nd Edition",Toni Kleckley,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:establishing glory 3 the marriage handbook,Establishing Glory 3: The Marriage Handbook,"Jackie Smith, Jr.",REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:establishing glory 2 the relationship handbook 2nd edition,Establishing Glory 2: The Relationship Handbook (2nd Edition),"Jackie Smith, Jr.",REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:a trubie s guide pt 1,A Trubie's Guide Pt. 1,Alesia Corpening,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:a trubie s guide pt 2,A Trubie's Guide Pt. 2,Alesia Corpening,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:101 wisdom lessons for life and living,101 Wisdom Lessons for Life and Living,j. Derrick Johnson,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:the intentional leader,The Intentional Leader,Jackie Smith Jr,REAL_ACTIVE,Editorial Internal QA,Complete,Proofreading Complete,Confirm next boundary after Editorial Internal QA,None,Confirm next boundary after Editorial Internal QA,Confirm next boundary after Editorial Internal QA,NOT_COMMISSIONED,NO - dry-run evidence first
title_id:5aee90b0-9730-f111-88b4-6045bdd69738,title_id:5aee90b0-9730-f111-88b4-6045bdd69738,,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title_id:9eb5559c-9630-f111-88b4-7c1e525b15c2,title_id:9eb5559c-9630-f111-88b4-7c1e525b15c2,,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:indomitable indomitable escaping witchcraft and finding my identity in christ,Indomitable Indomitable Escaping Witchcraft and Finding My Identity in Christ,Quanisha Dockery,REAL_ACTIVE,Stage 0 / Editorial Review,Pending,None proven,Confirm next boundary after Stage 0 / Editorial Review,None,Confirm next boundary after Stage 0 / Editorial Review,Confirm next boundary after Stage 0 / Editorial Review,AVAILABLE - Stage 0 Claude live-proven,NO - dry-run evidence first
title:int pub 005 stage 0 handoff jmp int 202607 0w5ptq,INT-PUB-005 Stage 0 Handoff — JMP-INT-202607-0W5PTQ,Jackie Smith Jr,REAL_ACTIVE,Stage 0 / Editorial Review,Complete,Editorial Review Complete,Confirm next boundary after Stage 0 / Editorial Review,None,Confirm next boundary after Stage 0 / Editorial Review,Confirm next boundary after Stage 0 / Editorial Review,AVAILABLE - Stage 0 Claude live-proven,NO - dry-run evidence first
title:int pub 005 stage 0 handoff jmp int 202607 422jsz,INT-PUB-005 Stage 0 Handoff — JMP-INT-202607-422JSZ,Atta Boateng,REAL_ACTIVE,Stage 0 / Editorial Review,Complete,Editorial Review Complete,Confirm next boundary after Stage 0 / Editorial Review,None,Confirm next boundary after Stage 0 / Editorial Review,Confirm next boundary after Stage 0 / Editorial Review,AVAILABLE - Stage 0 Claude live-proven,NO - dry-run evidence first
title:int pub 005 stage 0 handoff jmp int 202607 3r2ett,INT-PUB-005 Stage 0 Handoff — JMP-INT-202607-3R2ETT,Gate W1 Long Docx Synthetic,SYNTHETIC,Stage 0 / Editorial Review,Awaiting Jackie Review,None proven,Publisher decision for Stage 0 / Editorial Review,Jackie,Publisher decision for Stage 0 / Editorial Review,Publisher decision for Stage 0 / Editorial Review,AVAILABLE - Stage 0 Claude live-proven,NO - dry-run evidence first
title:int pub 005 stage 0 handoff jmp int 202607 buakcy,INT-PUB-005 Stage 0 Handoff — JMP-INT-202607-BUAKCY,Gate W1 Docx Synthetic,SYNTHETIC,Stage 0 / Editorial Review,Awaiting Jackie Review,None proven,Publisher decision for Stage 0 / Editorial Review,Jackie,Publisher decision for Stage 0 / Editorial Review,Publisher decision for Stage 0 / Editorial Review,AVAILABLE - Stage 0 Claude live-proven,NO - dry-run evidence first
title:int pub 005 stage 0 handoff jmp int 202607 yeuskk,INT-PUB-005 Stage 0 Handoff — JMP-INT-202607-YEUSKK,Gate W1 Synthetic,SYNTHETIC,Stage 0 / Editorial Review,Awaiting Jackie Review,None proven,Publisher decision for Stage 0 / Editorial Review,Jackie,Publisher decision for Stage 0 / Editorial Review,Publisher decision for Stage 0 / Editorial Review,AVAILABLE - Stage 0 Claude live-proven,NO - dry-run evidence first
title:int pub 005 stage 0 handoff jmp int 202607 oyzkei,INT-PUB-005 Stage 0 Handoff — JMP-INT-202607-OYZKEI,Gate W1 Synthetic,SYNTHETIC,Stage 0 / Editorial Review,Awaiting Jackie Review,None proven,Publisher decision for Stage 0 / Editorial Review,Jackie,Publisher decision for Stage 0 / Editorial Review,Publisher decision for Stage 0 / Editorial Review,AVAILABLE - Stage 0 Claude live-proven,NO - dry-run evidence first
title:int pub 005 stage 0 handoff jmp int 202607 3vamom,INT-PUB-005 Stage 0 Handoff — JMP-INT-202607-3VAMOM,Carolyn Booker-Pierce,RECONCILIATION_REQUIRED,Stage 0 / Editorial Review,Awaiting Jackie Review,None proven,Publisher decision for Stage 0 / Editorial Review,Jackie,Publisher decision for Stage 0 / Editorial Review,Publisher decision for Stage 0 / Editorial Review,AVAILABLE - Stage 0 Claude live-proven,NO - dry-run evidence first
title:int pub 005 stage 0 handoff jmp int 202607 h851lp,INT-PUB-005 Stage 0 Handoff — JMP-INT-202607-H851LP,JM1 Synthetic Intake Certification,CERTIFICATION,Stage 0 / Editorial Review,Awaiting Jackie Review,None proven,Publisher decision for Stage 0 / Editorial Review,Jackie,Publisher decision for Stage 0 / Editorial Review,Publisher decision for Stage 0 / Editorial Review,AVAILABLE - Stage 0 Claude live-proven,NO - dry-run evidence first
title:int pub 005 stage 0 handoff jmp int 202607 p79ywb,INT-PUB-005 Stage 0 Handoff — JMP-INT-202607-P79YWB,JM1 SyntheticFetch20260727165010,SYNTHETIC,Stage 0 / Editorial Review,Awaiting Jackie Review,None proven,Publisher decision for Stage 0 / Editorial Review,Jackie,Publisher decision for Stage 0 / Editorial Review,Publisher decision for Stage 0 / Editorial Review,AVAILABLE - Stage 0 Claude live-proven,NO - dry-run evidence first
title:int pub 005 stage 0 handoff jmp int 202607 dm8f79,INT-PUB-005 Stage 0 Handoff — JMP-INT-202607-DM8F79,JM1 SyntheticIntake20260727164554,SYNTHETIC,Stage 0 / Editorial Review,Awaiting Jackie Review,None proven,Publisher decision for Stage 0 / Editorial Review,Jackie,Publisher decision for Stage 0 / Editorial Review,Publisher decision for Stage 0 / Editorial Review,AVAILABLE - Stage 0 Claude live-proven,NO - dry-run evidence first
title:int pub 005 stage 0 handoff jmp int 202607 c3l2sg,INT-PUB-005 Stage 0 Handoff — JMP-INT-202607-C3L2SG,JM1 SyntheticIntake20260727163730,SYNTHETIC,Stage 0 / Editorial Review,Awaiting Jackie Review,None proven,Publisher decision for Stage 0 / Editorial Review,Jackie,Publisher decision for Stage 0 / Editorial Review,Publisher decision for Stage 0 / Editorial Review,AVAILABLE - Stage 0 Claude live-proven,NO - dry-run evidence first
title:int pub 005 stage 0 handoff jmp int 202607 lqphek,INT-PUB-005 Stage 0 Handoff — JMP-INT-202607-LQPHEK,Sean Crowley,RECONCILIATION_REQUIRED,Stage 0 / Editorial Review,Awaiting Jackie Review,None proven,Publisher decision for Stage 0 / Editorial Review,Jackie,Publisher decision for Stage 0 / Editorial Review,Publisher decision for Stage 0 / Editorial Review,AVAILABLE - Stage 0 Claude live-proven,NO - dry-run evidence first
title:int pub 005 stage 0 handoff jmp int 202607 oxizzp,INT-PUB-005 Stage 0 Handoff — JMP-INT-202607-OXIZZP,Jackie Smith Jr,RECONCILIATION_REQUIRED,Stage 0 / Editorial Review,Awaiting Jackie Review,None proven,Publisher decision for Stage 0 / Editorial Review,Jackie,Publisher decision for Stage 0 / Editorial Review,Publisher decision for Stage 0 / Editorial Review,AVAILABLE - Stage 0 Claude live-proven,NO - dry-run evidence first
title:int pub 005 stage 0 handoff jmp int 202607 6bo5z5,INT-PUB-005 Stage 0 Handoff — JMP-INT-202607-6BO5Z5,Jackie Smith Jr,RECONCILIATION_REQUIRED,Stage 0 / Editorial Review,Awaiting Jackie Review,None proven,Publisher decision for Stage 0 / Editorial Review,Jackie,Publisher decision for Stage 0 / Editorial Review,Publisher decision for Stage 0 / Editorial Review,AVAILABLE - Stage 0 Claude live-proven,NO - dry-run evidence first
title:int pub 005 stage 0 handoff jmp int 202607 14g8dt,INT-PUB-005 Stage 0 Handoff — JMP-INT-202607-14G8DT,Jackie Smith Jr,RECONCILIATION_REQUIRED,Stage 0 / Editorial Review,Awaiting Jackie Review,None proven,Publisher decision for Stage 0 / Editorial Review,Jackie,Publisher decision for Stage 0 / Editorial Review,Publisher decision for Stage 0 / Editorial Review,AVAILABLE - Stage 0 Claude live-proven,NO - dry-run evidence first
title:int pub 005 stage 0 handoff jmp int 202607 sj8k0p,INT-PUB-005 Stage 0 Handoff — JMP-INT-202607-SJ8K0P,Jackie Smith Jr,RECONCILIATION_REQUIRED,Stage 0 / Editorial Review,Awaiting Jackie Review,None proven,Publisher decision for Stage 0 / Editorial Review,Jackie,Publisher decision for Stage 0 / Editorial Review,Publisher decision for Stage 0 / Editorial Review,AVAILABLE - Stage 0 Claude live-proven,NO - dry-run evidence first
title:test reusable editorial diagnostic shell,TEST — Reusable Editorial Diagnostic Shell,,TEST,Stage 0 / Editorial Review,Awaiting Jackie Review,None proven,Publisher decision for Stage 0 / Editorial Review,Jackie,Publisher decision for Stage 0 / Editorial Review,Publisher decision for Stage 0 / Editorial Review,AVAILABLE - Stage 0 Claude live-proven,NO - dry-run evidence first
title:int pub 005 stage 0 handoff test flowd gate 003,INT-PUB-005 Stage 0 Handoff — TEST-FLOWD-GATE-003,,TEST,Stage 0 / Editorial Review,Awaiting Jackie Review,None proven,Publisher decision for Stage 0 / Editorial Review,Jackie,Publisher decision for Stage 0 / Editorial Review,Publisher decision for Stage 0 / Editorial Review,AVAILABLE - Stage 0 Claude live-proven,NO - dry-run evidence first
title:runner contract test,Runner Contract Test,,TEST,Stage 0 / Editorial Review,Awaiting Jackie Review,None proven,Publisher decision for Stage 0 / Editorial Review,Jackie,Publisher decision for Stage 0 / Editorial Review,Publisher decision for Stage 0 / Editorial Review,AVAILABLE - Stage 0 Claude live-proven,NO - dry-run evidence first
