decisionType,author,title,manifestRowNumber,amountAffected,recommendedAction,consequence,alternatives
PAYMENT ALLOCATION REQUIRED,Lisa Taylor,,,-170.99,"Payee appears in royalty manifest, but current evidence is not sufficient to allocate payment to statement or period.",No payment will be applied to a draft royalty statement until allocation is approved.,Match to statement; match to period; classify non-royalty; mark duplicate; leave unresolved.
PAYMENT ALLOCATION REQUIRED,Will Harris,,,-232.9,"Payee appears in royalty manifest, but current evidence is not sufficient to allocate payment to statement or period.",No payment will be applied to a draft royalty statement until allocation is approved.,Match to statement; match to period; classify non-royalty; mark duplicate; leave unresolved.
PAYMENT ALLOCATION REQUIRED,Kimberly Reeder,,,-500.0,"Payee appears in the author register, but there is no matching loaded 2026 royalty statement in this source package.",No payment will be applied to a draft royalty statement until allocation is approved.,Match to statement; match to period; classify non-royalty; mark duplicate; leave unresolved.
PAYMENT ALLOCATION REQUIRED,Tekisha Wimbush,,,-97.2,"Payee appears in royalty manifest, but current evidence is not sufficient to allocate payment to statement or period.",No payment will be applied to a draft royalty statement until allocation is approved.,Match to statement; match to period; classify non-royalty; mark duplicate; leave unresolved.
PAYMENT ALLOCATION REQUIRED,Kelli Milligan Stammen,,,-119.44,"Payee appears in the author register, but there is no matching loaded 2026 royalty statement in this source package.",No payment will be applied to a draft royalty statement until allocation is approved.,Match to statement; match to period; classify non-royalty; mark duplicate; leave unresolved.
PAYMENT ALLOCATION REQUIRED,Ericka Thornton,,,-32.4,"Payee appears in royalty manifest, but current evidence is not sufficient to allocate payment to statement or period.",No payment will be applied to a draft royalty statement until allocation is approved.,Match to statement; match to period; classify non-royalty; mark duplicate; leave unresolved.
PAYMENT ALLOCATION REQUIRED,J Derrick Johnson,,,-3499.95,"Payee appears in royalty manifest, but current evidence is not sufficient to allocate payment to statement or period.",No payment will be applied to a draft royalty statement until allocation is approved.,Match to statement; match to period; classify non-royalty; mark duplicate; leave unresolved.
PAYMENT ALLOCATION REQUIRED,Kelli Milligan Stammen,,,-32.4,"Payee appears in the author register, but there is no matching loaded 2026 royalty statement in this source package.",No payment will be applied to a draft royalty statement until allocation is approved.,Match to statement; match to period; classify non-royalty; mark duplicate; leave unresolved.
PAYMENT DECISION REQUIRED,Stephanie McCoy,,,-1695.0,Payment evidence payee is not safely tied to a royalty manifest row or known statement in current governed evidence.,No payment will be applied to a draft royalty statement until allocation is approved.,Match to statement; match to period; classify non-royalty; mark duplicate; leave unresolved.
PAYMENT ALLOCATION REQUIRED,Thomas Johnson,,,-31.8,"Payee appears in royalty manifest, but current evidence is not sufficient to allocate payment to statement or period.",No payment will be applied to a draft royalty statement until allocation is approved.,Match to statement; match to period; classify non-royalty; mark duplicate; leave unresolved.
PAYMENT ALLOCATION REQUIRED,Daphanny Baker,,,-63.47,"Payee appears in royalty manifest, but current evidence is not sufficient to allocate payment to statement or period.",No payment will be applied to a draft royalty statement until allocation is approved.,Match to statement; match to period; classify non-royalty; mark duplicate; leave unresolved.
PAYMENT DECISION REQUIRED,Charlowe Tyree,,,-450.0,Payment evidence payee is not safely tied to a royalty manifest row or known statement in current governed evidence.,No payment will be applied to a draft royalty statement until allocation is approved.,Match to statement; match to period; classify non-royalty; mark duplicate; leave unresolved.
PAYMENT ALLOCATION REQUIRED,Will Harris,,,-222.83,"Payee appears in royalty manifest, but current evidence is not sufficient to allocate payment to statement or period.",No payment will be applied to a draft royalty statement until allocation is approved.,Match to statement; match to period; classify non-royalty; mark duplicate; leave unresolved.
PAYMENT ALLOCATION REQUIRED,Iyorwuese Hagher,,,-1600.0,"Payee has a loaded draft statement, but payment date/amount/source do not safely allocate to a specific 2026 royalty statement.",No payment will be applied to a draft royalty statement until allocation is approved.,Match to statement; match to period; classify non-royalty; mark duplicate; leave unresolved.
PAYMENT ALLOCATION REQUIRED,Daphanny Baker,,,-92.85,"Payee appears in royalty manifest, but current evidence is not sufficient to allocate payment to statement or period.",No payment will be applied to a draft royalty statement until allocation is approved.,Match to statement; match to period; classify non-royalty; mark duplicate; leave unresolved.
PAYMENT ALLOCATION REQUIRED,Daphanny Baker,,,-139.27,"Payee appears in royalty manifest, but current evidence is not sufficient to allocate payment to statement or period.",No payment will be applied to a draft royalty statement until allocation is approved.,Match to statement; match to period; classify non-royalty; mark duplicate; leave unresolved.
PAYMENT ALLOCATION REQUIRED,Daphanny Baker,,,-95.4,"Payee appears in royalty manifest, but current evidence is not sufficient to allocate payment to statement or period.",No payment will be applied to a draft royalty statement until allocation is approved.,Match to statement; match to period; classify non-royalty; mark duplicate; leave unresolved.
PAYMENT ALLOCATION REQUIRED,Shaniqua Williams,,,-32.4,"Payee appears in the author register, but there is no matching loaded 2026 royalty statement in this source package.",No payment will be applied to a draft royalty statement until allocation is approved.,Match to statement; match to period; classify non-royalty; mark duplicate; leave unresolved.
PAYMENT ALLOCATION REQUIRED,Gloria Patterson,,,-83.71,"Payee appears in royalty manifest, but current evidence is not sufficient to allocate payment to statement or period.",No payment will be applied to a draft royalty statement until allocation is approved.,Match to statement; match to period; classify non-royalty; mark duplicate; leave unresolved.
PAYMENT ALLOCATION REQUIRED,Will Harris,,,-222.83,"Payee appears in royalty manifest, but current evidence is not sufficient to allocate payment to statement or period.",No payment will be applied to a draft royalty statement until allocation is approved.,Match to statement; match to period; classify non-royalty; mark duplicate; leave unresolved.
PAYMENT ALLOCATION REQUIRED,Edith Clay,,,-32.4,"Payee appears in royalty manifest, but current evidence is not sufficient to allocate payment to statement or period.",No payment will be applied to a draft royalty statement until allocation is approved.,Match to statement; match to period; classify non-royalty; mark duplicate; leave unresolved.
PAYMENT ALLOCATION REQUIRED,Mildred Beard,,,-32.4,"Payee appears in royalty manifest, but current evidence is not sufficient to allocate payment to statement or period.",No payment will be applied to a draft royalty statement until allocation is approved.,Match to statement; match to period; classify non-royalty; mark duplicate; leave unresolved.
PAYMENT ALLOCATION REQUIRED,Mack Hughley,,,-32.4,"Payee appears in royalty manifest, but current evidence is not sufficient to allocate payment to statement or period.",No payment will be applied to a draft royalty statement until allocation is approved.,Match to statement; match to period; classify non-royalty; mark duplicate; leave unresolved.
PAYMENT DECISION REQUIRED,Marvin T Grayson,,,-32.1,Payment evidence payee is not safely tied to a royalty manifest row or known statement in current governed evidence.,No payment will be applied to a draft royalty statement until allocation is approved.,Match to statement; match to period; classify non-royalty; mark duplicate; leave unresolved.
PAYMENT DECISION REQUIRED,Gloria Huffman,,,-650.0,Payment evidence payee is not safely tied to a royalty manifest row or known statement in current governed evidence.,No payment will be applied to a draft royalty statement until allocation is approved.,Match to statement; match to period; classify non-royalty; mark duplicate; leave unresolved.
PAYMENT ALLOCATION REQUIRED,Rosetta Perry,,,-32.4,"Payee appears in royalty manifest, but current evidence is not sufficient to allocate payment to statement or period.",No payment will be applied to a draft royalty statement until allocation is approved.,Match to statement; match to period; classify non-royalty; mark duplicate; leave unresolved.
PAYMENT ALLOCATION REQUIRED,David Williams,,,-32.4,"Payee appears in the author register, but there is no matching loaded 2026 royalty statement in this source package.",No payment will be applied to a draft royalty statement until allocation is approved.,Match to statement; match to period; classify non-royalty; mark duplicate; leave unresolved.
PAYMENT ALLOCATION REQUIRED,Cheryl Travis,,,-211.2,"Payee has a loaded draft statement, but payment date/amount/source do not safely allocate to a specific 2026 royalty statement.",No payment will be applied to a draft royalty statement until allocation is approved.,Match to statement; match to period; classify non-royalty; mark duplicate; leave unresolved.
PAYMENT DECISION REQUIRED,Nellie Miner,,,-650.0,Payment evidence payee is not safely tied to a royalty manifest row or known statement in current governed evidence.,No payment will be applied to a draft royalty statement until allocation is approved.,Match to statement; match to period; classify non-royalty; mark duplicate; leave unresolved.
PAYMENT ALLOCATION REQUIRED,Brandyn McElroy,,,-32.4,"Payee appears in royalty manifest, but current evidence is not sufficient to allocate payment to statement or period.",No payment will be applied to a draft royalty statement until allocation is approved.,Match to statement; match to period; classify non-royalty; mark duplicate; leave unresolved.
PAYMENT ALLOCATION REQUIRED,Sylvia Benson,,,-64.8,"Payee appears in the author register, but there is no matching loaded 2026 royalty statement in this source package.",No payment will be applied to a draft royalty statement until allocation is approved.,Match to statement; match to period; classify non-royalty; mark duplicate; leave unresolved.
PAYMENT ALLOCATION REQUIRED,Deanna Jones,,,-32.4,"Payee appears in the author register, but there is no matching loaded 2026 royalty statement in this source package.",No payment will be applied to a draft royalty statement until allocation is approved.,Match to statement; match to period; classify non-royalty; mark duplicate; leave unresolved.
PAYMENT DECISION REQUIRED,Wenda Burnom,,,-50.0,Payment evidence payee is not safely tied to a royalty manifest row or known statement in current governed evidence.,No payment will be applied to a draft royalty statement until allocation is approved.,Match to statement; match to period; classify non-royalty; mark duplicate; leave unresolved.
PAYMENT DECISION REQUIRED,Wenda Burnom,,,-10.0,Payment evidence payee is not safely tied to a royalty manifest row or known statement in current governed evidence.,No payment will be applied to a draft royalty statement until allocation is approved.,Match to statement; match to period; classify non-royalty; mark duplicate; leave unresolved.
PAYMENT DECISION REQUIRED,Mary Miner,,,-650.0,Payment evidence payee is not safely tied to a royalty manifest row or known statement in current governed evidence.,No payment will be applied to a draft royalty statement until allocation is approved.,Match to statement; match to period; classify non-royalty; mark duplicate; leave unresolved.
PAYMENT ALLOCATION REQUIRED,Tracy Norris,,,-32.4,"Payee appears in royalty manifest, but current evidence is not sufficient to allocate payment to statement or period.",No payment will be applied to a draft royalty statement until allocation is approved.,Match to statement; match to period; classify non-royalty; mark duplicate; leave unresolved.
PAYMENT ALLOCATION REQUIRED,Karen Hill,,,-64.8,"Payee appears in royalty manifest, but current evidence is not sufficient to allocate payment to statement or period.",No payment will be applied to a draft royalty statement until allocation is approved.,Match to statement; match to period; classify non-royalty; mark duplicate; leave unresolved.
PAYMENT ALLOCATION REQUIRED,Will Harris,,,-222.83,"Payee appears in royalty manifest, but current evidence is not sufficient to allocate payment to statement or period.",No payment will be applied to a draft royalty statement until allocation is approved.,Match to statement; match to period; classify non-royalty; mark duplicate; leave unresolved.
PAYMENT DECISION REQUIRED,Deborah A. Eiland,,,-162.0,Payment evidence payee is not safely tied to a royalty manifest row or known statement in current governed evidence.,No payment will be applied to a draft royalty statement until allocation is approved.,Match to statement; match to period; classify non-royalty; mark duplicate; leave unresolved.
PAYMENT DECISION REQUIRED,Emma Holder,,,-650.0,Payment evidence payee is not safely tied to a royalty manifest row or known statement in current governed evidence.,No payment will be applied to a draft royalty statement until allocation is approved.,Match to statement; match to period; classify non-royalty; mark duplicate; leave unresolved.
PAYMENT ALLOCATION REQUIRED,Carolyn Booker-Pierce,,,-194.4,"Payee appears in the author register, but there is no matching loaded 2026 royalty statement in this source package.",No payment will be applied to a draft royalty statement until allocation is approved.,Match to statement; match to period; classify non-royalty; mark duplicate; leave unresolved.
PAYMENT DECISION REQUIRED,M. Darlene Carson,,,-32.4,Payment evidence payee is not safely tied to a royalty manifest row or known statement in current governed evidence.,No payment will be applied to a draft royalty statement until allocation is approved.,Match to statement; match to period; classify non-royalty; mark duplicate; leave unresolved.
PAYMENT ALLOCATION REQUIRED,Toni Kleckley,,,-32.4,"Payee appears in the author register, but there is no matching loaded 2026 royalty statement in this source package.",No payment will be applied to a draft royalty statement until allocation is approved.,Match to statement; match to period; classify non-royalty; mark duplicate; leave unresolved.
PAYMENT ALLOCATION REQUIRED,Adrean Young,,,-32.4,"Payee appears in the author register, but there is no matching loaded 2026 royalty statement in this source package.",No payment will be applied to a draft royalty statement until allocation is approved.,Match to statement; match to period; classify non-royalty; mark duplicate; leave unresolved.
PAYMENT ALLOCATION REQUIRED,Shelley McIntosh,,,-95.4,"Payee appears in royalty manifest, but current evidence is not sufficient to allocate payment to statement or period.",No payment will be applied to a draft royalty statement until allocation is approved.,Match to statement; match to period; classify non-royalty; mark duplicate; leave unresolved.
PAYMENT ALLOCATION REQUIRED,Kurt Broadnax,,,-64.8,"Payee appears in royalty manifest, but current evidence is not sufficient to allocate payment to statement or period.",No payment will be applied to a draft royalty statement until allocation is approved.,Match to statement; match to period; classify non-royalty; mark duplicate; leave unresolved.
