legacy_sku,legacy_name,legacy_price,category,matrix_v11_equivalent,conflict (yes/no + detail),proposed_disposition,jackie_ruling,notes
JMP-PKG-PRO,and JMP-PKG-SIGNATURE. Add-on upsell for JMP-PKG-STARTER (,"$4,500",Uncategorized,JMP-PKG-PRO,no,MIGRATE-AS-IS,,"Exact SKU exists in Matrix v1.1 (Professional $4,500). Sources: full_catalog, reference_guide. Status: ACTIVE."
JMP-PKG-SIGNATURE,Signature Publishing Partnership (≤100K words),"$7,500",Uncategorized,JMP-PKG-PREMIER / JM Signature funding track,yes - legacy package conflates package tier with Traditional/JM Signature track,SUPERSEDED,,"Matrix separates Premier package from JM Signature funding track. Sources: full_catalog, reference_guide. Status: ACTIVE. Amendment note: Naming collision review now includes Premier Package, Partner Premier, and JM Signature Partner."
JMP-PKG-STARTER,Starter Publishing Package (≤50K words),"$1,999",Uncategorized,JMP-PKG-STARTER,no,MIGRATE-AS-IS,,"Exact SKU exists in Matrix v1.1 (Starter $1,999). Sources: full_catalog, reference_guide. Status: ACTIVE."
JMP-POST-ROYALTY,Royalty Dashboard,Incl. (subs),Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-PROG-LOYALTY,Loyalty / Returning Author Program,Publisher review required,Program,,"no Matrix v1.1 equivalent identified; confirm whether this is discount policy, membership, or author relationship program.",CANDIDATE-ACTIVE-PUBLISHER-REVIEW,,Active candidate added by 2026-07-20 amendment. Requires Jackie ruling before operational use.
JMP-PROG-PARTNER-BASE,Partner Program - Base,Publisher review required,Program,JMP-PARTNER-PARTNER,"possible overlap with legacy Publishing Partner annual program; confirm naming, terms, and commercial posture.",CANDIDATE-ACTIVE-PUBLISHER-REVIEW,,Active candidate added by 2026-07-20 amendment. Do not activate until Jackie resolves program naming and scope.
JMP-PROG-PARTNER-PREMIER,Partner Program - Premier,Publisher review required,Program,JMP-PKG-PREMIER / JMP-PARTNER-SIGNATURE / JM Signature Partner,"JACKIE DECISION REQUIRED - naming collision among Premier Package, Partner Premier, and JM Signature Partner.",CANDIDATE-ACTIVE-PUBLISHER-REVIEW,,"Recommended naming strategy: reserve Premier for package tier, reserve Partner for annual/relationship program, reserve JM Signature for funding/relationship track. Do not rename until Jackie rules."
JMP-RIGHTS-CATALOG,Rights Catalog Creation,$750,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-RIGHTS-FILM,Film/TV Rights Representation,20%,Uncategorized,,no - provisional/non-public activation pending,PROVISIONAL,,Coming Soon or pending item: keep non-public until separately activated. Sources: full_catalog. Status: PENDING PARTNER.
JMP-RIGHTS-FOREIGN,Foreign Rights Representation,20%,Uncategorized,,no - provisional/non-public activation pending,PROVISIONAL,,Coming Soon or pending item: keep non-public until separately activated. Sources: full_catalog. Status: PENDING PARTNER.
JMP-RIGHTS-MINISTRY,Ministry Bulk Licensing,20%,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-SUB-AI,AI Plan (incl. dashboard),$249/mo,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-SUB-COMMUNITY,Community,$79/mo,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-SUB-MARKETING,Marketing (incl. dashboard),$199/mo,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-SUB-SUPPORT,Support (incl. royalty dashboard),$149/mo,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
