"Title / Working Title","Author Public/Pen Name","LifecycleContext","OperationallyActive","PortalWorkspaceState","Flags"
"Lady Daphanny's Altar","Daphanny Baker","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Just What I Needed","Adrean Young","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Jewels by Lady J","Janet Stephens","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Kingdom Equipment 101","Terry Stephens","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Lady Daphanny's Altar","Daphanny Baker","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Inspirations from God","Edith Clay","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Jalen Becomes a Big Brother","Deborah Eiland","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Jewels by Lady J","Janet Stephens","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Inner Peace Through Life's Storms","KD Heard","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Jalen Becomes a Big Brother","Deborah Eiland","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Inner Peace Through Life's Storms","KD Heard","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Jalen Becomes a Big Brother","Deborah Eiland","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Inspirations from God","Edith Clay","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Help God, I Am Sad","Cheryl Travis","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Hodge Podge of Life","Mildred Beard","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"I Am My Worst Enemy!","Maurche Reed","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Help God, I Am Lost","Cheryl Travis","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"I Am My Worst Enemy!","Maurche Reed","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Hop, Hop, Hop","Tawana Mars","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Help God, I Am Sad","Cheryl Travis","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Hodge Podge of Life","Mildred Beard","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Hop, Hop, Hop","Tawana Mars","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Help God, I Am Hurt","Cheryl Travis","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Help God, I Am Lonely","Cheryl Travis","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Help God, I Am Confused","Cheryl Travis","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Help God, I Am Hurt","Cheryl Travis","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Help God, I Am Lonely","Cheryl Travis","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Help God, I Am Confused","Cheryl Travis","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Help God, I Am Lost","Cheryl Travis","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Help God, I Am Angry","Cheryl Travis","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Help God, I Am Afraid","Cheryl Travis","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Help God, I Am Afraid","Cheryl Travis","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Help God, I Am Angry","Cheryl Travis","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Help God, I Am - the Collection","Cheryl Travis","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Have You Considered My Servant?","Jaylonna Stevette","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Have You Considered My Servant?","Jaylonna Stevette","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Help God, I Am - The Collection","Cheryl Travis","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"God's Business Plan","Terry Stephens","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Grandmothers Educating Minds","Toni Kleckley","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"God's Nudge","Tekisha Wimbush","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"God's Word for This World","Thomas Johnson","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"God’s Business Plan","Terry Stephens","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"God’s Business Plan","Terry Stephens","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Grandmothers Educating Minds","Toni Kleckley","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"God's Nudge","Tekisha Wimbush","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"God's Word For This World","Thomas Johnson","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Girl, Did You Know... ?","Kimberly Reeder","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"From Stylist to CEO","Karen Hill","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Girl, Did You Know...?","Kimberly Reeder","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Getting Back 2 Happy: The Chronicles of Tabby (Unabridged)","Jaylonna Stevette","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Girl, You're Not Crazy. You're Dealing With a Narcissist","Carolyn Booker-Pierce","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Getting Back 2 Happy","Jaylonna Stevette","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Girl, You're Not Crazy. You're Dealing with a Narcissist","Carolyn Booker-Pierce","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Getting Back 2 Happy","Jaylonna Stevette","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Focus, Trust, & Follow","Shana Byrd","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"For What It's Worth","Kelli Milligan Stammen","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"From Stylist to CEO","Karen Hill","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Establishing Glory: The Relationship Handbook","Jackie Smith, Jr.","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Focus, Trust, & Follow","Shana Byrd","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"From Stylist to CEO","Karen Hill","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"For What It's Worth","Kelli Milligan Stammen","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Establishing Glory: The Praise and Worship Handbook","Jackie Smith, Jr.","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Establishing Glory: The Praise and Worship Handbook (2nd Edition)","Jackie Smith, Jr.","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Establishing Glory: The Praise and Worship Handbook","Jackie Smith, Jr.","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Establishing Glory","Jackie Smith, Jr.","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Establishing Glory 2","Jackie Smith, Jr.","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Establishing Glory","Jackie Smith, Jr.","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Establishing Glory 2","Jackie Smith, Jr.","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Establishing Glory 2","Jackie Smith, Jr.","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Establishing Glory 3","Jackie Smith, Jr.","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Establishing Glory 3","Jackie Smith, Jr.","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Establishing Glory 3","Jackie Smith, Jr.","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Divinely Inspired","Regina Scales","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Establishing Glory","Jackie Smith, Jr.","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Divinely Inspired","Regina Scales","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Establishing Glory","Jackie Smith, Jr.","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Establishing Glory","Jackie Smith, Jr.","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Establishing Glory","Jackie Smith, Jr.","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Establishing Glory","Jackie Smith, Jr.","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Establishing Glory","Jackie Smith, Jr.","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Establishing Glory","Jackie Smith, Jr.","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Destined to Break the Curse","Sean Smith, Sr.","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Discipline and Direction","Terry Stephens","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Discipline and Direction","Terry Stephens","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Destined to Break the Curse","Sean Smith, Sr.","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Divinely Inspired","Regina Scales","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Department of the Air Force: Mission Driven Leadership","USAF","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Destined To Break The Curse Devotional","Sean Smith, Sr.","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Destined to Break the Curse Devotional","Sean Smith, Sr.","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Delicious Ideas!","Agape International Cathedral","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Damaged","Lisa Taylor","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Conquer Your Fears and Win","Gloria Patterson","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Delicious Ideas!","Agape International Cathedral","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Damaged","Lisa Taylor","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Department of the Air Force Mission Driven Leadership","USAF","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Conquer Your Fears and Win","Gloria Patterson","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Conquer Your Fears and Win","Gloria Patterson","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Delicious Ideas!","Agape International Cathedral","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Bodacious","Nathaniel Short","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Connected!","Dennis Brown","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Bodacious","Nathaniel Short","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Connected!","Dennis Brown","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Come Out of Hiding","Christina Chislom","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Biblical Prescriptions For Life's Troubles","Terry Stephens","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Come Out of Hiding","Christina Chislom","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"BEE Careful","Deborah Eiland","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"BEE Careful","Deborah Eiland","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"BEE Careful","Deborah Eiland","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"BEE Careful","Deborah Eiland","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Biblical Prescriptions for Life's Troubles","Terry Stephens","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"BEE Careful","Deborah Eiland","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"BEE Careful","Deborah Eiland","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Because the Lord is My Shepherd","Carolyn Booker-Pierce","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Almost Happy","Jaylonna Stevette","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Aligned!","Dennis Brown","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Almost Happy","Jaylonna Stevette","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Because the Lord Is My Shepherd","Carolyn Booker-Pierce","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Aligned!","Dennis Brown","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Are You Sure That You Are Ready?","Ericka Thornton","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"According to Mark","Alice Pryor","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Almost Happy","Jaylonna Stevette","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Are You Sure That You Are Ready?","Ericka Thornton","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"A Truebies Guide, Part 1","Alesia Corpening","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"A Truebies Guide, Part 2","Alesia Corpening","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"According to Mark","Alice Pryor","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"A Truebies Guide, Part 1","Alesia Corpening","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"A Truebies Guide, Part 2","Alesia Corpening","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Abortion!","Carolyn Booker-Pierce","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Abortion!","Carolyn Booker-Pierce","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"According to Mark","Alice Pryor","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"A Principal's Tale","Shelley McIntosh","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"A Portrait of Paradise","Iyorwuese Hagher","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"A Little Bit of Everything","Eryonna Barrino","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"A Portrait of Paradise","Iyorwuese Hagher","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"A Principal's Tale","Shelley McIntosh","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"A Portrait of Paradise","Iyorwuese Hagher","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"365 Days of Transparency","Daphanny Baker","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"7 Step Jumpstart to Becoming Your Best Self","Ericka Johnson Settles","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"365 Days Of Transparency","Daphanny Baker","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"7 Step Jumpstart to Becoming Your Best Self","Ericka Johnson-Settles","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"A Little Bit of Everything","Eryonna Barrino","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"A Blended Family","Shecara Norris","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"7 Step Jumpstart to Becoming Your Best Self","Ericka Johnson Settles","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"A Blended Family","Shecara Norris","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"A Blended Family","Shecara Norris","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"27 Days to Overcoming Depression","Donjia Walls","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"100 Wisdom Lessons for Life and Living","J Derrick Johnson","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"100 Wisdom Lessons for Life and Living","J Derrick Johnson","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"100 Wisdom Lessons for Life and Living","J Derrick Johnson","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"27 Days to Overcoming Depression","Donjia Walls","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"100 Wisdom Lessons for Life and Living","J Derrick Johnson","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Melodies from Heaven","Bailey Cunningham","RECONCILIATION_REQUIRED","YES","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"A Truebies Guide, Part 1","","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Focus, Trust, & Follow","","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"What Goes up Must Come down Let's Face It","","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"God’s Business Plan","","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"The Essence of Life, Love Letters to Christ","","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"The I Am in Me Part 2","","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"A Little Bit of Everything","Eryonna Noelle","RECONCILIATION_REQUIRED","YES","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Come Out of Hiding","Chistina Chislom","RECONCILIATION_REQUIRED","YES","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"The Never Before Told Story of the Gelatin Monster","Nicky Williams","RECONCILIATION_REQUIRED","YES","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Hop, Hop, Hop","Tawanna Mars","RECONCILIATION_REQUIRED","YES","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
